SIDO,YM,CARD_TOTAL,CARD_TRY,UPJONG_CD
경기,20190417,419502,5,ss001
세종,20210408,215837,10,ss001
서울,20200815,111666,10,ss002
서울,20161230,302705,5,ss001
경기,20180131,22635,65,ss007
서울,20200118,41246,5,ss003
서울,20180716,1367053,5,ss001
서울,20180402,35210,5,ss001
서울,20170904,120720,20,ss008
서울,20190216,25150,5,ss004
서울,20170712,45270,10,ss003
서울,20191114,65390,5,ss008
서울,20181008,75450,5,ss007
서울,20190611,700176,10,ss004
서울,20180125,17605,10,ss001
서울,20160323,125800,5,ss001
대전,20190301,140840,10,ss004
경기,20200206,29174,5,ss001
서울,20180819,87924,5,ss007
강원,20201021,266590,10,ss006
서울,20180114,44767,20,ss004
경기,20170703,12575,5,ss008
서울,20181213,254015,5,ss002
경기,20210408,189812,15,ss001
서울,20190518,57845,30,ss006
경기,20170308,140840,5,ss008
서울,20180405,75450,5,ss003
서울,20170517,58348,15,ss002
서울,20190729,1060324,5,ss007
경기,20161123,814357,5,ss006
서울,20160223,201200,5,ss006
서울,20210428,16599,5,ss003
서울,20210309,79474,5,ss007
서울,20201108,55330,10,ss004
부산,20180901,853591,5,ss006
서울,20160326,2052240,5,ss002
서울,20160804,22635,5,ss003
인천,20210628,667481,116,ss001
