서울시민업종코드(UPJONG_CD),기준년월(YM),시간대구간(TIME),고객주소블록코드(BLOCK_CD),카드이용금액계(AMT_CORR),소액결제건수(MICRO_PYM)
ss006,201711,5,365817,5,0
ss006,201809,4,353278,252,5
ss006,202107,3,418905,10,5
ss006,201601,6,13894,30,5
ss006,201705,3,152365,5,0
ss006,201804,3,15364,5,30
ss006,201601,3,152013,5,25
ss006,201612,5,180637,75,5
ss006,201904,4,210123,5,0
ss006,201906,3,154905,40,10
ss006,201603,1,219892,5,25
ss006,201604,5,12551,25,60
ss006,202007,4,363422,5,5
ss006,201812,2,221054,20,20
ss006,201902,4,208468,30,20
ss006,201910,3,216981,20,25
ss006,201808,6,23764,5,15
ss006,201608,2,271102,5,35
ss004,201704,2,207294,5,5
ss004,201911,6,206419,40,30
ss004,201905,5,206801,10,5
ss004,201705,6,278641,116,0
ss004,201909,4,500680,5,70
ss004,202002,4,10186,10,55
ss004,201805,5,232000,20,5
ss004,202012,4,363596,10,5
ss004,201709,6,224245,211,10
ss004,201606,4,210343,20,20
ss004,202006,3,414892,362,5
ss007,201806,3,225250,45,20
ss007,201711,4,363995,151,30
ss007,201801,5,227968,15,5
ss007,202011,5,221845,267,0
ss007,201807,4,269395,50,10
ss007,201606,6,229186,106,5
ss007,202006,2,347666,15,0
ss007,201603,4,211298,5,5
ss007,201904,4,24481,5,0
ss007,201610,2,219597,5,45
ss007,202107,3,499426,10,0
ss007,202104,5,19948,40,20
ss007,201701,4,223284,5,307
ss007,201611,4,281004,20,15
ss007,201604,4,23778,5,15
ss007,201610,1,228316,5,126
ss007,201910,3,229345,5,0
ss007,201709,5,410687,282,0
ss007,201803,4,31438,101,5
ss007,201910,1,17429,60,5
ss007,202009,1,227000,5,35
ss007,201912,2,187128,5,10
ss007,201605,1,8651,35,20
ss007,201709,5,214963,5,0
ss007,202105,4,219930,15,20
ss007,201608,3,225651,5,0
ss007,201902,5,207154,5,0
ss007,201703,4,152585,20,10
ss007,202002,5,221716,30,0
ss007,201606,5,226443,30,5
ss007,201605,5,502813,372,25
ss007,201908,4,216127,80,0
ss008,202107,1,14970,55,0
ss008,201709,5,13028,55,0
ss008,201607,2,415750,5,5
ss008,201811,2,226651,5,25
ss008,201702,4,222369,60,0
ss008,201708,3,230880,5,0
ss008,202010,2,337206,5,5
ss008,201803,2,412634,45,0
ss008,201806,4,226937,5,10
ss008,201909,4,216553,5,0
ss008,202106,3,421393,10,55
ss008,201708,3,365108,20,96
ss008,201610,3,229662,25,15
ss008,202005,2,219347,15,5
ss008,201812,6,216958,5,30
ss008,201902,3,219487,25,5
ss008,202003,4,220056,65,5
ss008,201903,4,228994,191,0
ss008,201610,2,339958,166,0
ss008,201603,4,15768,10,5
ss008,201706,5,207956,10,20
ss008,201806,1,364774,55,65
ss008,202101,4,18676,5,10
ss008,201901,6,229221,10,10
ss008,201611,5,421912,5,0
ss008,201608,4,22061,131,40
ss008,201704,1,208696,30,0
ss008,201905,5,18211,80,5
ss008,201801,5,207933,392,5
ss008,201808,3,26153,10,86
ss008,202005,2,22652,176,5
ss008,201802,3,414978,40,30
ss008,201612,3,350425,5,20
ss008,201902,5,419597,5,20
ss008,201812,3,222525,15,25
ss008,201704,1,343797,5,136
ss008,202009,5,15953,5,20
ss008,201707,3,214935,70,10
ss008,201909,4,225316,30,5
ss008,201606,1,263858,5,0
ss008,201712,3,15186,15,0
ss008,201910,1,421562,5,70
ss008,201609,2,366772,5,15
ss008,201612,3,217404,5,5
