업종대분류(UPJONG_CLASS1),기준일자(YMD),시간대구간(TIME),고객주소집계구별(TOT_REG_CD),카드이용금액계(AMT_CORR),카드이용건수계(USECT_CORR)
요식/유흥,20191118,3,1.12E+12,1026120,25
가정생활/서비스,20210205,3,1.12E+12,42403,45
유통,20200315,4,1.12E+12,251500,35
전자상거래,20180304,5,1.12E+12,181080,35
스포츠/문화/레저,20210111,4,1.12E+12,1084619,5
가정생활/서비스,20180309,5,1.12E+12,45270,15
유통,20200708,5,1.13E+12,112672,5
유통,20180906,5,1.12E+12,812848,5
자동차/주유,20180912,1,1.11E+12,794790,70
스포츠/문화/레저,20170211,5,1.11E+12,372220,40
자동차/주유,20191105,4,1.12E+12,503000,15
유통,20181010,5,1.12E+12,262063,5
의료,20170209,2,1.11E+12,125750,30
전자상거래,20160428,5,1.12E+12,80480,10
가정생활/서비스,20180626,3,1.12E+12,150900,10
가정생활/서비스,20170625,4,1.11E+12,3757410,25
전자상거래,20180506,3,1.11E+12,67905,5
자동차/주유,20180916,4,1.12E+12,8551,45
유통,20170501,4,1.10E+12,61366,15
스포츠/문화/레저,20170104,4,1.13E+12,482427,5
요식/유흥,20190403,6,1.12E+12,233845,40
전자상거래,20210205,5,1.12E+12,50300,5
요식/유흥,20160604,2,1.11E+12,1206697,10
스포츠/문화/레저,20160913,6,1.12E+12,425437,106
요식/유흥,20180407,4,1.12E+12,5533,5
요식/유흥,20170407,3,1.11E+12,107139,5
스포츠/문화/레저,20190708,5,1.12E+12,15090,5
전자상거래,20160320,3,1.12E+12,538210,10
전자상거래,20161014,6,1.12E+12,10060,10
유통,20210517,4,1.11E+12,324938,10
유통,20160226,2,1.11E+12,390630,5
스포츠/문화/레저,20170309,6,1.12E+12,65390,15
전자상거래,20181219,5,1.12E+12,251500,10
의료,20201201,4,1.11E+12,715719,10
스포츠/문화/레저,20171219,3,1.11E+12,420910,5
가정생활/서비스,20210709,5,1.11E+12,111918,25
요식/유흥,20200207,6,1.12E+12,307836,30
자동차/주유,20210201,4,1.11E+12,1745360,5
요식/유흥,20200224,3,1.11E+12,593651,25
요식/유흥,20180505,6,1.11E+12,146373,10
전자상거래,20180311,4,1.11E+12,519599,5
유통,20210213,2,1.11E+12,51306,5
전자상거래,20210721,3,1.11E+12,14587,30
가정생활/서비스,20170804,4,1.12E+12,790414,5
의료,20200313,5,1.12E+12,1279431,15
스포츠/문화/레저,20200802,3,1.11E+12,2046878,236
요식/유흥,20210115,4,1.11E+12,5,15
자동차/주유,20181019,2,1.11E+12,127259,5
자동차/주유,20210325,6,1.12E+12,623217,5
요식/유흥,20210629,5,1.11E+12,554402,25
요식/유흥,20200227,3,1.12E+12,63479,5
요식/유흥,20161107,5,1.12E+12,15090,70
스포츠/문화/레저,20190522,3,1.12E+12,46779,10
의료,20180607,5,1.12E+12,210153,5
유통,20190512,3,1.12E+12,1173952,40
전자상거래,20181106,3,1.12E+12,47619,5
유통,20160403,1,1.12E+12,393130,10
스포츠/문화/레저,20191128,6,1.12E+12,186221,5
스포츠/문화/레저,20200106,3,1.12E+12,20120,10
전자상거래,20170317,4,1.12E+12,100600,5
요식/유흥,20200826,3,1.11E+12,506018,20
요식/유흥,20160327,3,1.12E+12,452700,5
가정생활/서비스,20210731,5,1.12E+12,1190048,5
스포츠/문화/레저,20171121,6,1.11E+12,67402,15
스포츠/문화/레저,20181208,4,1.11E+12,9054,30
스포츠/문화/레저,20190303,5,1.13E+12,232386,5
유통,20170227,3,1.11E+12,1815830,15
유통,20200320,6,1.11E+12,108648,5
의료,20171119,4,1.11E+12,129020,5
의료,20180122,5,1.12E+12,70420,5
가정생활/서비스,20180920,3,1.12E+12,5954202,15
전자상거래,20160604,1,1.12E+12,120720,5
전자상거래,20181205,5,1.11E+12,75903,10
의료,20190106,3,1.12E+12,218554,5
전자상거래,20160604,2,1.12E+12,109101,5
유통,20190220,2,1.11E+12,1319555,10
스포츠/문화/레저,20170608,5,1.11E+12,1341199,15
자동차/주유,20160513,3,1.11E+12,80480,25
자동차/주유,20210203,4,1.12E+12,164230,15
스포츠/문화/레저,20160414,5,1.10E+12,452197,15
스포츠/문화/레저,20160505,2,1.10E+12,211260,20
의료,20161216,3,1.10E+12,331980,30
스포츠/문화/레저,20180210,5,1.12E+12,75450,30
자동차/주유,20190908,4,1.10E+12,1036733,5
유통,20180209,2,1.13E+12,181080,10
가정생활/서비스,20180607,3,1.11E+12,288974,15
전자상거래,20180815,3,1.11E+12,15090,5
요식/유흥,20160101,6,1.12E+12,759530,20
스포츠/문화/레저,20180409,1,1.12E+12,97783,15
가정생활/서비스,20210728,6,1.10E+12,10563,10
자동차/주유,20161022,3,1.12E+12,236410,5
자동차/주유,20191218,3,1.12E+12,328208,5
전자상거래,20171214,6,1.11E+12,21629,20
유통,20210106,3,1.11E+12,51457,20
교육/학원,20160723,6,1.12E+12,2218230,30
가정생활/서비스,20201117,3,1.12E+12,5030,5
가정생활/서비스,20170602,4,1.10E+12,1046763,10
의료,20200416,3,1.12E+12,352100,20
